Alfa Romeo;Италия;Милан, Италия
Alfa Romeo F1 Team;Швейцария;Хинвил, Швейцария
AlphaTauri;Италия;Фаэнца, Италия
Alpine;Франция;Энстоун, Великобритания
Arrows;Великобритания;Лифилд, Великобритания
Aston Martin;Великобритания;Сильверстоун, Великобритания
BAR;Великобритания;Брэкли, Великобритания
Benetton;Италия;Энстон, Великобритания
BMW;Германия;Мюнхен, Германия
Brabham;Великобритания;Милтон-Кинс, Великобритания
Brawn GP;Великобритания;Брэкли, Великобритания
BRM;Великобритания;Бурн, Великобритания
Caterham;Малайзия;Лифилд, Великобритания
Cooper;Великобритания;Сурбитон, Великобритания
Eagle;США;Санта-Ана, Калифорния, США
Ferrari;Италия;Маранелло, Италия
Force India;Индия;Сильверстоун, Великобритания
Haas;США;Каннаполис, США
Hesketh;Великобритания;Великобритания
Honda;Япония;Брэкли, Великобритания
HRT;Испания;Мадрид, Испания
Jaguar;Великобритания;Милтон-Кинс, Великобритания
Jordan;Ирландия;Сильверстоун, Великобритания
Ligier;Франция;Маньи-Кур, Франция
Lotus;Великобритания;Энстоун, Великобритания
Manor;Великобритания;Диннингтон, Великобритания
March;Великобритания;Ньютаунардс, Великобритания
Marussia;Великобритания;Сильверстоун, Великобритания
Maserati;Италия;Модена, Италия
Matra;Франция;Париж, Франция
McLaren;Великобритания;Уокинг, Великобритания
Mercedes;Германия;Брэкли, Великобритания
Minardi;Италия;Фаенца, Италия
Penske;США;Пул, Великобритания
Porsche;Германия;Штутгарт, Германия
Prost;Франция;Париж, Франция
Racing Point;Великобритания;Сильверстоун, Великобритания
Red Bull;Австрия;Милтон-Кинс, Великобритания
Renault;Франция;Энстоун, Великобритания
Sauber;Швейцария;Хинвил, Швейцария
Shadow;Великобритания;Нортгемптон, Великобритания
Stewart;Великобритания;Милтон-Кинс, Великобритания
Super Aguri;Япония;Лифилд, Великобритания
Toro Rosso;Италия;Фаэнца, Италия
Toyota;Япония;Кёльн, Германия
Tyrrell;Великобритания;Окхам, Великобритания
Vanwall;Великобритания;Лондон, Великобритания
Virgin;Великобритания;Шеффилд, Великобритания
Williams;Великобритания;Гроув, Великобритания
Wolf;Канада;Ридинг, Великобритания
