А1-Ринг;Австрия;Шпильберг
Аделаида;Австралия;Аделаида
Аида;Япония;Аида
Айн-Диаб;Марокко;Касабланка
Алгарве (Портимао);Португалия;Портиман
Альберт-Парк;Австралия;Мельбурн
Андерсторп;Швеция;Андерсторп
АФУС;Германия;Берлин
Баку;Азербайджан;Баку
Боавишта;Португалия;Порту
Бремгартен;Швейцария;Бремгартен
Брэндс-Хэтч;Великобритания;Брэндс-Хэтч
Бугатти;Франция;Ле-Ман
Будда;Индия;Дели
Буэнос-Айрес;Аргентина;Буэнос-Айрес
Валенсия;Испания;Валенсия
Даллас;США;Даллас
Детройт;США;Детройт
Джидда;Саудовская Аравия;Джидда
Дижон-Пренуа;Франция;Дижон
Донингтон-Парк;Великобритания;Касл Донингтон
Жакарепагуа;Бразилия;Рио-де-Жанейро
Зандворт;Нидерланды;Зандворт
Золдер;Бельгия;Хёсден-Золдер
Имола;Италия;Имола
Индианаполис;США;Индианаполис
Интерлагос;Бразилия;Сан-Паулу
Ист-Лондон;Южная Африка;Порт-Элизабет
Истанбул Парк;Турция;Стамбул
Йонам;Республика Корея;Йонам
Каталунья;Испания;Монмело
Клермон-Ферран;Франция;Клермон-Ферран
Кьялами;Южная Африка;Мидранд
Лас-Вегас;США;Лас-Вегас
Лонг-Бич;США;Лонг-Бич
Магдалена Миксука;Мексика;Мехико
Маньи-Кур;Франция;Маньи-Кур
Марина Бей;Сингапур;Сингапур
Международный автодром Лосаль;Катар;Доха
Международный автодром Майами;США;Майами
Мон-Трамблан;Канада;Мон-Трамблан
Монжуик-Парк;Испания;Барселона
Монреаль;Канада;Монреаль
Монсанто-Парк;Португалия;Монсанто-Парк
Монте-Карло;Монако;Монте-Карло
Монца;Италия;Монца
Моспорт-Парк;Канада;Бауманвиль
Муджелло;Италия;Скарперия-э-Сан-Пьеро
Нивель-Болёр;Бельгия;Нивель
Нюрбургринг;Германия;Нюрбург
Остеррайхринг;Австрия;Шпильберг
Педральбес;Испания;Барселона
Пескара;Италия;Пескара
Поль Рикар;Франция;Ле-Кастелле
Ред Булл Ринг;Австрия;Шпильберг
Реймс-Гу;Франция;Реймс
Риверсайд;США;Риверсайд
Руан;Франция;Руан
Сахир;Бахрейн;Сахир
Себринг;США;Себринг
Сепанг;Малайзия;Сепанг
Сильверстоун;Великобритания;Сильверстоун
Сочи Автодром;Российская Федерация;Сочи
Спа-Франкоршам;Бельгия;Спа
Судзука;Япония;Судзука
Трасса Америк;США;Остин
Уоткинс-Глен;США;Уоткинс-Глен
Финикс;США;Финикс
Фудзи;Япония;Фудзи
Ханой;Вьетнам;Ханой
Харама;Испания;Мадрид
Херес;Испания;Херес-де-ла-Фронтера
Хоккенхаймринг;Германия;Хоккенхайм
Хунгароринг;Венгрия;Будапешт
Цезарь Палас;США;Лас-Вегас
Цельтвег;Австрия;Цельтвег
Шанхай;Китай;Шанхай
Эйнтри;Великобритания;Эйнтри
Эшторил;Португалия;Эшторил
Яс Марина;Объединённые Арабские Эмираты;Абу-Даби
