;0;1;2;3;4
0;2009;Гран-при Австралии;29;марта;Мельбурн
1;2009;Гран-при Малайзии;05;апреля;Сепанг
2;2009;Гран-при Китая;19;апреля;Шанхай
3;2009;Гран-при Бахрейна;26;апреля;Сахир
4;2009;Гран-при Испании;10;мая;Каталунья-Монтмело
5;2009;Гран-при Монако;24;мая;Монте-Карло
6;2009;Гран-при Турции;07;июня;Стамбул
7;2009;Гран-при Великобритании;21;июня;Сильверстоун
8;2009;Гран-при Германии;12;июля;Нюрнбургринг
9;2009;Гран-при Венгрии;26;июля;Хунгароринг
10;2009;Гран-при Европы;23;августа;Валенсия
11;2009;Гран-при Бельгии;30;августа;Спа-Франкоршан
12;2009;Гран-при Италии;13;сентября;Монца
13;2009;Гран-при Сингапура;27;сентября;Марина Бей
14;2009;Гран-при Японии;04;октября;Сузука
15;2009;Гран-при Бразилии;18;октября;Интерлагос
16;2009;Гран-при Абу-Даби;01;ноября;Яс Марина
17;2010;Гран-при Бахрейна;14;марта;Сахир
18;2010;Гран-при Австралии;28;марта;Мельбурн
19;2010;Гран-при Малайзии;04;апреля;Сепанг
20;2010;Гран-при Китая;18;апреля;Шанхай
21;2010;Гран-при Испании;09;мая;Каталунья-Монтмело
22;2010;Гран-при Монако;16;мая;Монте-Карло
23;2010;Гран-при Турции;30;мая;Стамбул
24;2010;Гран-при Канады;13;июня;Монреаль
25;2010;Гран-при Европы;27;июня;Валенсия
26;2010;Гран-при Великобритании;11;июля;Сильверстоун
27;2010;Гран-при Германии;25;июля;Хоккенхайм
28;2010;Гран-при Венгрии;01;августа;Хунгароринг
29;2010;Гран-при Бельгии;29;августа;Спа-Франкоршан
30;2010;Гран-при Италии;12;сентября;Монца
31;2010;Гран-при Сингапура;26;сентября;Марина Бей
32;2010;Гран-при Японии;10;октября;Сузука
33;2010;Гран-при Кореи;24;октября;Йонам
34;2010;Гран-при Бразилии;07;ноября;Интерлагос
35;2010;Гран-при Абу-Даби;14;ноября;Яс Марина
36;2011;Гран-при Австралии;27;марта;Мельбурн
37;2011;Гран-при Малайзии;10;апреля;Сепанг
38;2011;Гран-при Китая;17;апреля;Шанхай
39;2011;Гран-при Турции;08;мая;Стамбул
40;2011;Гран-при Испании;22;мая;Каталунья-Монтмело
41;2011;Гран-при Монако;29;мая;Монте-Карло
42;2011;Гран-при Канады;12;июня;Монреаль
43;2011;Гран-при Европы;26;июня;Валенсия
44;2011;Гран-при Великобритании;10;июля;Сильверстоун
45;2011;Гран-при Германии;24;июля;Нюрнбургринг
46;2011;Гран-при Венгрии;31;июля;Хунгароринг
47;2011;Гран-при Бельгии;28;августа;Спа-Франкоршан
48;2011;Гран-при Италии;11;сентября;Монца
49;2011;Гран-при Сингапура;25;сентября;Марина Бей
50;2011;Гран-при Японии;09;октября;Сузука
51;2011;Гран-при Кореи;16;октября;Йонам
52;2011;Гран-при Индии;30;октября;Нью-Дели
53;2011;Гран-при Абу-Даби;13;ноября;Яс Марина
54;2011;Гран-при Бразилии;27;ноября;Интерлагос
55;2012;Гран-при Австралии;18;марта;Мельбурн
56;2012;Гран-при Малайзии;25;марта;Сепанг
57;2012;Гран-при Китая;15;апреля;Шанхай
58;2012;Гран-при Бахрейна;22;апреля;Сахир
59;2012;Гран-при Испании;13;мая;Каталунья-Монтмело
60;2012;Гран-при Монако;27;мая;Монте-Карло
61;2012;Гран-при Канады;10;июня;Монреаль
62;2012;Гран-при Европы;24;июня;Валенсия
63;2012;Гран-при Великобритании;08;июля;Сильверстоун
64;2012;Гран-при Германии;22;июля;Хоккенхайм
65;2012;Гран-при Венгрии;29;июля;Хунгароринг
66;2012;Гран-при Бельгии;02;сентября;Спа-Франкоршан
67;2012;Гран-при Италии;09;сентября;Монца
68;2012;Гран-при Сингапура;23;сентября;Марина Бей
69;2012;Гран-при Японии;07;октября;Сузука
70;2012;Гран-при Кореи;14;октября;Йонам
71;2012;Гран-при Индии;28;октября;Нью-Дели
72;2012;Гран-при Абу-Даби;04;ноября;Яс Марина
73;2012;Гран-при США;18;ноября;Остин
74;2012;Гран-при Бразилии;25;ноября;Интерлагос
75;2013;Гран-при Австралии;17;марта;Мельбурн
76;2013;Гран-при Малайзии;24;марта;Сепанг
77;2013;Гран-при Китая;14;апреля;Шанхай
78;2013;Гран-при Бахрейна;21;апреля;Сахир
79;2013;Гран-при Испании;12;мая;Каталунья-Монтмело
