Unnamed: 0;Место;Пилот;Команда;Q1;Q2;Q3;gp_ind
0;1;13;10;1:25.211;1:24.855;1:26.202;0
1;2;12;10;1:25.006;1:24.783;1:26.505;0
2;3;128;37;1:25.938;1:25.121;1:26.830;0
3;4;55;8;1:25.922;1:25.152;1:26.914;0
4;5;103;48;1:25.846;1:25.123;1:26.973;0
5;6;36;44;1:25.499;1:25.281;1:26.975;0
6;7;68;15;1:25.844;1:25.319;1:27.033;0
7;8;122;44;1:26.194;1:25.265;1:27.127;0
8;9;93;15;1:25.899;1:25.380;1:27.163;0
9;10;124;37;1:25.427;1:25.241;1:27.246;0
10;11;133;8;1:25.827;1:25.504;-;0
11;12;1;38;1:26.026;1:25.605;-;0
12;13;73;48;1:26.074;1:25.607;-;0
13;14;53;30;1:26.184;1:25.726;-;0
14;15;144;30;1:26.454;БВ;-;0
15;16;23;43;1:26.503;-;-;0
16;17;88;38;1:26.598;-;-;0
17;18;129;16;1:26.677;-;-;0
18;19;117;16;1:26.742;-;-;0
19;20;21;43;1:26.964;-;-;0
20;1;13;10;1:35.058;1:33.784;1:35.181;1
21;2;122;44;1:34.745;1:33.990;1:35.273;1
22;3;128;37;1:34.935;1:34.276;1:35.518;1
23;4;12;10;1:34.681;1:34.387;1:35.651;1
24;5;36;44;1:34.907;1:34.258;1:35.690;1
25;6;103;48;1:35.083;1:34.547;1:35.750;1
26;7;124;37;1:35.027;1:34.222;1:35.797;1
27;8;55;8;1:35.166;1:34.562;1:36.106;1
28;9;93;15;1:35.476;1:34.456;1:36.170;1
29;10;1;38;1:35.260;1:34.706;1:37.659;1
30;11;133;8;1:35.110;1:34.769;-;1
31;12;73;48;1:35.341;1:34.788;-;1
32;13;144;30;1:35.280;1:34.905;-;1
33;14;53;30;1:35.023;1:34.924;-;1
34;15;21;43;1:35.507;1:35.431;-;1
35;16;68;15;1:35.642;-;-;1
36;17;88;38;1:35.708;-;-;1
37;18;129;16;1:35.908;-;-;1
38;19;117;16;1:35.951;-;-;1
39;20;23;43;1:36.107;-;-;1
40;1;128;37;1:36.565;1:35.130;1:36.184;2
41;2;1;38;1:36.443;1:35.803;1:36.381;2
42;3;124;37;1:35.751;1:35.173;1:36.466;2
43;4;12;10;1:35.701;1:35.503;1:36.493;2
44;5;13;10;1:35.533;1:35.556;1:36.532;2
45;6;122;44;1:36.308;1:35.645;1:36.835;2
46;7;103;48;1:35.941;1:35.809;1:37.397;2
47;8;93;15;1:36.137;1:35.856;1:38.089;2
48;9;144;30;1:35.776;1:35.740;1:38.595;2
49;10;23;43;1:36.284;1:35.965;1:39.321;2
50;11;133;8;1:36.525;1:35.975;-;2
51;12;53;30;1:36.646;1:36.032;-;2
52;13;68;15;1:36.178;1:36.033;-;2
53;14;36;44;1:36.364;1:36.066;-;2
54;15;73;48;1:36.673;1:36.193;-;2
55;16;21;43;1:36.906;-;-;2
56;17;88;38;1:36.908;-;-;2
57;18;55;8;1:36.966;-;-;2
58;19;117;16;1:37.669;-;-;2
59;20;129;16;1:37.672;-;-;2
60;1;122;44;1:32.779;1:32.671;1:33.431;3
61;2;36;44;1:33.165;1:32.613;1:33.712;3
62;3;128;37;1:32.680;1:32.474;1:34.015;3
63;4;13;10;1:32.978;1:32.842;1:34.044;3
64;5;144;30;1:32.851;1:32.877;1:34.196;3
65;6;12;10;1:33.116;1:32.842;1:34.239;3
66;7;1;38;1:33.627;1:32.860;1:34.578;3
67;8;68;15;1:33.297;1:33.014;1:34.818;3
68;9;103;48;1:33.672;1:33.166;1:35.134;3
69;10;93;15;1:33.117;1:32.827;1:35.380;3
70;11;53;30;1:33.479;1:33.242;-;3
71;12;73;48;1:33.221;1:33.348;-;3
72;13;55;8;1:33.495;1:33.487;-;3
73;14;133;8;1:33.377;1:33.562;-;3
74;15;88;38;1:33.608;1:33.941;-;3
75;16;117;16;1:33.722;-;-;3
76;17;23;43;1:33.753;-;-;3
77;18;129;16;1:33.910;-;-;3
78;19;124;37;1:34.038;-;-;3
79;20;21;43;1:34.159;-;-;3
80;1;13;10;1:20.707;1:20.192;1:20.527;4
81;2;128;37;1:20.715;1:20.220;1:20.660;4
82;3;12;10;1:20.808;1:19.954;1:20.762;4
83;4;68;15;1:20.484;1:20.149;1:20.934;4
84;5;124;37;1:20.689;1:20.007;1:21.049;4
85;6;36;44;1:20.877;1:20.107;1:21.247;4
86;7;122;44;1:21.189;1:20.420;1:21.254;4
87;8;1;38;1:21.186;1:20.509;1:21.392;4
88;9;103;48;1:20.745;1:20.256;1:22.558;4
