Unnamed: 0;Место;Пилот;Команда;Отставание/Сход;gp_ind
0;1;13;10;1:34:15.784;0
1;2;12;10;+0.8;0
2;3;122;44;+1.6;0
3;4;36;44;+4.4;0
4;5;1;38;+4.8;0
5;6;103;48;+5.7;0
6;7;23;43;+6.0;0
7;8;21;43;+6.2;0
8;9;117;16;+6.3;0
9;10;133;8;+7.0;0
10;11;129;16;+7.3;0
11;12;124;37;+1 круг;0
12;13;128;37;DNF;0
13;14;55;8;DNF;0
14;15;93;15;DNF;0
15;НК;68;15;DNF;0
16;НК;88;38;DNF;0
17;НК;73;48;DNF;0
18;Дскв;53;30;DNF;0
19;Дскв;144;30;+2.9;0
20;1;13;10;Победитель;1
21;2;133;8;+22.7;1
22;3;36;44;+23.5;1
23;4;122;44;+46.1;1
24;5;12;10;+47.3;1
25;6;124;37;+52.3;1
26;7;144;30;+60.7;1
27;8;103;48;+71.5;1
28;9;68;15;+76.9;1
29;10;21;43;+102.164;1
30;11;1;38;+109.422;1
31;12;73;48;+116.130;1
32;13;88;38;+116.713;1
33;14;93;15;+142.841;1
34;15;128;37;DNF;1
35;16;23;43;DNF;1
36;17;117;16;+1 круг;1
37;18;129;16;DNF;1
38;НК;55;8;DNF;1
39;НК;53;30;DNF;1
40;1;128;37;Победитель;2
41;2;124;37;+10.9;2
42;3;13;10;+44.9;2
43;4;12;10;+63.7;2
44;5;53;30;+65.1;2
45;6;144;30;+71.8;2
46;7;36;44;+74.4;2
47;8;23;43;+76.4;2
48;9;1;38;+84.3;2
49;10;93;15;+91.7;2
50;11;21;43;+94.1;2
51;12;133;8;+95.8;2
52;13;55;8;+1 круг;2
53;14;129;16;+1 круг;2
54;15;103;48;+1 круг;2
55;16;88;38;+2 круга;2
56;17;117;16;DNF;2
57;НК;73;48;DNF;2
58;НК;68;15;DNF;2
59;НК;122;44;DNF;2
60;1;13;10;Победитель;3
61;2;128;37;+7.1;3
62;3;122;44;+9.1;3
63;4;144;30;+22.0;3
64;5;12;10;+37.7;3
65;6;93;15;+42.0;3
66;7;36;44;+42.8;3
67;8;1;38;+52.7;3
68;9;103;48;+58.1;3
69;10;88;38;+65.1;3
70;11;124;37;+67.6;3
71;12;53;30;+77.8;3
72;13;21;43;+78.8;3
73;14;68;15;+1 круг;3
74;15;129;16;+1 круг;3
75;16;117;16;+1 круг;3
76;17;23;43;+1 круг;3
77;18;55;8;+1 круг;3
78;19;133;8;+1 круг;3
79;НК;73;48;DNF;3
